"SystemName","DeviceID","VolumeName","Size(GB)","FreeSpace(GB)","% FreeSpace(GB)","Date"
"SUGI","C:","Windows","103.4","14.8","14.35%","8/08/2017 8:04 PM"
"SUGI","D:","LENOVO","4.0","2.3","58.74%","8/08/2017 8:04 PM"
